question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall
What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,$8368 - $7874 = $494 million,5.426711345000001,5.426711345000001,18,3.316926008342903,,,,
"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends reinvested?",148.36,"The graph compares the performance of an investment in The Goldman Sachs Group, Inc. common stock from December 26, 2008, through December 31, 2013, with the S&P 500 index and the S&P 500 financials index.",3.6852101520000247,3.6852101520000247,65,17.638071458346392,,,,
What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,The provided text does not contain the specific percentage reduction in second generation tenant improvements for 2012 compared to 2011. It only states that expenditures were significantly reduced in 2012 as a result of repositioning investments.,2.9960062500000504,2.9960062500000504,52,17.356439092875434,,,,
"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,"The context does not provide information about Abiomed’s cumulative total stockholder return compared to the NASDAQ Composite Index over the five-year period ending March 31, 2012.",2.4942939989999786,2.4942939989999786,40,16.03660194669792,,,,
"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,"The context does not provide information about AES Corporation or its debt schedule as of December 31, 2001.",1.7745426689999704,1.7745426689999704,27,15.215187818062239,,,,
"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results table for the years ended December 31?",-0.49834619625137816,The provided text does not contain information about the percentage change in net sales for Ball Corporation’s discontinued operations between 2009 and 2010.,2.230307272999994,2.230307272999994,35,15.692904930055391,,,,
What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,"The difference between fair value and carrying value will be amortized through march 15 , 2012 , resulting in a reduction of reported interest expense in future periods.",2.6230241079999814,2.6230241079999814,37,14.105855865812828,,,,
What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,$35 million,1.0827846399999999,1.0827846399999999,5,4.617723428363373,,,,
By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,The context does not provide information about Entergy Gulf States Louisiana's receivables from the money pool. It only provides data for “system energy’s receivables.”,2.1911811759999864,2.1911811759999864,33,15.060370343378764,,,,
"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends were reinvested?",1.6062,160.62%,1.526376416000005,1.526376416000005,8,5.241171126690137,,,,
"In the 2007 report of Motorola Solutions, what were the net sales to the top five customers of the segment in 2006, which included notable companies such as Sprint Nextel, Comcast Corporation, Verizon, KDDI, and China Mobile?",2430.0,45%,1.0849522359999924,1.0849522359999924,4,3.6867982453745807,,,,
"What was the average segment net sales for Motorola Solutions from 2005 to 2007, in millions of dollars, as reported in the 2007 financial report?",6055.666666666667,$6.7 billion (calculated as ($5.4 billion + $7.7 billion) / 2).,2.200374602000011,2.200374602000011,25,11.36170176536144,,,,
"What was the percentage change in commercial mortgage loans held for sale designated at fair value from 2008 to 2009, as reported by PNC Financial Services in their 2013 Form 10-K?",-0.08422301304863583,The context does not provide information about the percentage change in commercial mortgage loans held for sale from 2008 to 2009. It only provides data for 2011 and 2012.,2.6592653149999705,2.6592653149999705,48,18.050098171569818,,,,
What was the average total assets for Goldman Sachs in millions for the years 2012 and 2013?,925031.0,$924861.5 (average of $938555 and $911507),2.027865152000004,2.027865152000004,29,14.300753662736616,,,,
"What percentage of American Water Works' gross liabilities, as reported in the consolidated balance sheets for the year 2012, are specifically categorized as other long-term liabilities?",0.41084461830015523,$74360 / $833.04 billion = 0.00089%,1.9525271409999618,1.9525271409999618,26,13.316076101602578,,,,
"What is the percentage change in the total impairment charges and net losses on long-lived assets for American Tower from 2003 to 2004, as reflected in the company's 2005 consolidated financial statements?",-0.07329842931937183,"$28.3 million in 2003 to $22.3 million in 2004, representing a -17.0% change.",2.4304929669999638,2.4304929669999638,37,15.223249152483787,,,,
"What percentage of the total future minimum lease payments due in 2019, as of December 31, 2016, for LKQ Corporation's operating leases, including those for corporate office space, warehouse and distribution facilities, trucks, and equipment?",0.11519727434040693,"$136,462 (in thousands).",1.3075881180000124,1.3075881180000124,13,9.941968591672287,,,,
"As of December 31, 2006, what percentage of the total route miles operated by Union Pacific Corporation was accounted for by the main line?",0.5294596480347313,27318 / 51596 = 0.527 or 52.7%,1.7505323089999933,1.7505323089999933,27,15.4238798456819,,,,
"In the context of Aon's Employee Share Purchase Plan for U.S. employees, what was the average share price at which the company's ordinary shares were purchased in 2015, considering the plan's provision to purchase shares at 85% of the lower of the fair market value on the first or last day of each 6-month period?",21.863976911640382,"The average share price was $58.15 per share, calculated from the repurchase of 11.0 million shares at an average price of $58.15 during 2018.",2.993167736000032,2.993167736000032,45,15.034239297305962,,,,
"What was the percentage change in total rental expense under operating leases for Sysco from July 1, 2006 to July 2, 2007, given that the total rental expense under operating leases was $100,690,000 in fiscal 2006 and $110,310,000 is not provided but can be calculated based on the 9% increase?",0.086074857081221,"The percentage change in total rental expense under operating leases for Sysco from July 1, 2006 to July 2, 2007 was 9%.",2.3600955630000158,2.3600955630000158,38,16.10104293899719,,,,
"What is the difference in the excess of current cost over LIFO cost between the fiscal years ending February 3, 2006, and January 28, 2005, for Dollar General?",12.1,The provided text does not contain information about Dollar General’s cost accounting or the difference between excess of current cost over LIFO cost.,1.806046417999994,1.806046417999994,28,15.5034774969998,,,,
"What percentage of Citigroup's total principal transactions revenue in 2018 was attributed to interest rate risks, as outlined in the company's 2018 financial report?",0.5722798499227544,"$5186 million, representing 57.38% of the total $9062 million in principal transactions revenue for 2018.",2.449327755000013,2.449327755000013,36,14.697910447677023,,,,
"What percentage of the present value of lease obligations for Arista Networks, as of December 31, 2015, is classified as the current portion?",0.03140130682085272,-1336 (1336),1.072831334,1.072831334,12,11.185355628324704,,,,
"As of December 31, 2018, what percentage of Republic Services' restricted cash and marketable securities was dedicated to supporting insurance programs for workers' compensation, commercial general liability, and commercial auto liability?",0.727104532839963,$78.6 million of the $108.1 million was dedicated to supporting those insurance programs.,1.7101023729999838,1.7101023729999838,24,14.034247527472571,,,,
"What was the ratio of the pre-tax gain on the securities transferred from held-to-maturity securities to available-for-sale securities to their carrying value during the year ended December 31, 2018, for E*TRADE Financial Corporation?",1.4893617021276595,$6 million to $4.7 billion.,1.4798846570000137,1.4798846570000137,11,7.4330117201829315,,,,
"What was the average residential mortgage loan balance for the years 2007 and 2006 at PNC Financial Services, as reported in the 'Note 5: Loans, Commitments to Extend Credit and Concentrations of Credit Risk' section of the 2007 financial report?",7947.0,"$9,557 million in 2007 and $6,337 million in 2006.",2.4382206129999986,2.4382206129999986,29,11.893919625393643,,,,
"What percentage of Packaging Corporation of America's total purchase commitments for energy, as outlined in the notes to consolidated financial statements for the year 2005, is allocated to the year 2007?",0.3616118769883351,"$2408 thousand (or $2,408,000) out of $3,772 thousand (or $3,772,000).",2.2232024190000175,2.2232024190000175,42,18.89166710195077,,,,
"What was the change in the total net derivative receivables reported on the consolidated balance sheets of JPMorgan Chase from 2014 to 2015, considering the fair value of derivative contracts and the effect of legally enforceable master netting agreements and cash collateral held by the firm?",-19.299999999999997,The total net derivative receivables decreased from $79.0 billion in 2014 to $59.7 billion in 2015.,2.2026131499999906,2.2026131499999906,34,15.436210394004116,,,,
What percentage of System Energy's receivables from the money pool in 2004 was utilized by money pool activity in terms of operating cash flows?,0.6900246785296792,The context does not provide the specific amount of System Energy's receivables from the money pool in 2004. It only states that $42.5 million of system energy’s operating cash flows were used by the money pool in 2004.,2.62404038599999,2.62404038599999,57,21.722226648687034,,,,
"What was the combined total of unpaid principal balance of unresolved home equity indemnification and repurchase claims from private investors at PNC Financial Services for the years 2011 and 2012, in millions, as reported in the 2013 Form 10-K?",184.0,$74 (in 2012) and $110 (in 2011).,1.6103264269999613,1.6103264269999613,25,15.524802661641099,,,,
"What was the decline in commercial paper issued by conduits during 2003, in billions, as reported in JPMorgan Chase's 2003 Annual Report?",5.800000000000001,"$5.3 billion as of December 31, 2003, and $7.2 billion as of December 31, 2002.",2.4756098689999817,2.4756098689999817,38,15.34975299454192,,,,
"What was the percentage change in risk-weighted assets at GS Bank USA, a subsidiary of Goldman Sachs, between December 2011 and December 2012, as reflected in the table presenting regulatory capital ratios under Basel 1?",-0.02796390838828618,17.1% (17.1%) to 18.9% (18.9%).,2.0416431710000325,2.0416431710000325,25,12.24503887609046,,,,
"In the 2012 financial report of Snap-on, what was the percentage change in the number of non-vested performance awards from the beginning to the end of the year?",-905.0,"The number of non-vested performance share units increased from 54,208 shares at the end of 2011 to 213,000 shares at the end of 2012, representing a change of 158,792 shares.",3.6437067879999745,3.6437067879999745,64,17.564530771459115,,,,
"What was the ratio of Devon Energy's debt maturities scheduled for 2013 to those scheduled for 2014 as of December 31, 2012?",6.378,"The provided text does not contain the ratio of Devon Energy's debt maturities scheduled for 2013 to those scheduled for 2014 as of December 31, 2012. It only provides debt maturity schedules for 2013, 2014, 2015, 2016, 2017, and 2018 and thereafter.",3.805668677999961,3.805668677999961,91,23.911697969415542,,,,
"What is the average value of settlements, as reflected in the reconciliation of unrecognized tax benefits for Merck & Co. from 2011 to 2013?",-309.6666666666667,The average value of settlements from 2011 to 2013 is $21 million.,1.9555237870000042,1.9555237870000042,24,12.272926649907301,,,,
