question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall
What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,$8368 - $7874 = $494 million,4.4380357049999475,4.4380357049999475,18,4.055848397010635,0.3333333333333333,0.5949144700938205,0.249999999975,1.0
"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends reinvested?",148.36,"The graph compares the performance of an investment in The Goldman Sachs Group, Inc. common stock from December 26, 2008, through December 31, 2013, with the S&P 500 index and the S&P 500 financials index.",3.837365869999985,3.837365869999985,65,16.938702798229727,,0.3877220942331525,0.19999999998,0.0
What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,The provided text does not contain the specific percentage reduction in second generation tenant improvements for 2012 compared to 2011. It only states that expenditures were significantly reduced in 2012 as a result of repositioning investments.,2.8588293980001254,2.8588293980001254,52,18.189263072632542,1.0,0.9849119600512052,0.9999999999,1.0
"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,"The context does not provide information about Abiomed’s cumulative total stockholder return compared to the NASDAQ Composite Index over the five-year period ending March 31, 2012.",2.198546012999941,2.198546012999941,40,18.193842550249627,0.0,0.9476263941318548,0.0,0.0
"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,"The context does not provide information about AES Corporation or its debt schedule as of December 31, 2001.",2.1790427490000184,2.1790427490000184,27,12.390761958383118,1.0,0.7740452159467407,0.249999999975,1.0
"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results table for the years ended December 31?",-0.49834619625137816,The provided text does not contain information about the percentage change in net sales for Ball Corporation’s discontinued operations between 2009 and 2010.,2.2086697100000947,2.2086697100000947,35,15.846642819219221,,0.8951339073899329,0.0,0.0
What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,"The difference between fair value and carrying value will be amortized through march 15 , 2012 , resulting in a reduction of reported interest expense in future periods.",2.265346650000083,2.265346650000083,37,16.33304112639831,1.0,0.6031447507928724,0.9999999999,0.0
What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,$35 million,0.959520811999937,0.959520811999937,5,5.210934392948142,1.0,0.5455232586848529,0.3333333333,1.0
By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,The context does not provide information about Entergy Gulf States Louisiana's receivables from the money pool. It only provides data for “system energy’s receivables.”,1.8056806650001818,1.8056806650001818,33,18.275656731361565,1.0,0.7744265389076824,0.9999999999,1.0
"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends were reinvested?",1.6062,160.62%,1.3045609869998316,1.3045609869998316,8,6.132331167129278,0.0,0.6724135209359191,0.249999999975,1.0
